cosine_feature,count_feature,hr_std,hr_mean,time_feature,psg_label,hr_mean_diff
-0.258819,38.634412,0.524519,0.476175,0.0,0,0.0
-0.260926,31.640606,0.514774,0.492192,0.008333,0,0.016017000000000003
-0.263031,22.570999,0.49723,0.522277,0.016667,0,0.030084999999999973
-0.265135,19.341522,0.489079,0.54435,0.025,0,0.02207300000000001
-0.267238,21.960207,0.482398,0.568079,0.033333,0,0.023729
-0.26934,23.748017,0.465207,0.601221,0.041667,0,0.033142000000000005
-0.27144,19.761946,0.429916,0.63939,0.05,0,0.03816900000000001
-0.27354,11.934657,0.396868,0.663943,0.058333,0,0.024552999999999936
-0.275637,5.16166,0.401716,0.65272,0.066667,0,-0.011222999999999983
-0.277734,1.592834,0.384375,0.62766,0.075,0,-0.02505999999999997
-0.279829,0.350075,0.331947,0.594889,0.083333,0,-0.032770999999999995
-0.281923,0.054713,0.273137,0.566391,0.091667,0,-0.028498000000000023
-0.284015,0.006073,0.260579,0.559851,0.1,0,-0.00653999999999999
-0.286106,0.000497,0.263508,0.573868,0.108333,0,0.014017000000000057
-0.288196,0.000273,0.243641,0.595796,0.116667,0,0.021927999999999948
-0.290285,0.00219,0.212001,0.613175,0.125,0,0.017379000000000033
-0.292372,0.013705,0.223314,0.602858,0.133333,0,-0.01031700000000002
-0.294457,0.06056,0.22029,0.579671,0.141667,0,-0.023186999999999958
-0.296542,0.189013,0.208484,0.560412,0.15,0,-0.019259000000000026
-0.298624,0.416834,0.207511,0.553825,0.158333,0,-0.0065870000000000095
-0.300706,0.649727,0.206062,0.55605,0.166667,0,0.0022250000000000325
-0.302786,0.715929,0.201097,0.562136,0.175,0,0.006085999999999925
-0.304864,0.557694,0.204933,0.555452,0.183333,0,-0.006684000000000023
-0.306941,0.307091,0.212658,0.541007,0.191667,0,-0.01444499999999993
-0.309017,0.119504,0.221325,0.519273,0.2,0,-0.02173400000000003
-0.311091,0.032854,0.236511,0.490717,0.208333,0,-0.02855599999999997
-0.313164,0.006378,0.25676,0.46186,0.216667,0,-0.02885700000000002
-0.315235,0.000874,0.267025,0.449473,0.225,0,-0.012386999999999981
-0.317305,8.4e-05,0.268988,0.445527,0.233333,0,-0.003946000000000005
-0.319373,6e-06,0.26748,0.426277,0.241667,0,-0.01924999999999999
-0.321439,0.0,0.253778,0.391942,0.25,0,-0.034335000000000004
-0.323505,0.0,0.228241,0.353619,0.258333,0,-0.038322999999999996
-0.325568,0.0,0.193004,0.316482,0.266667,0,-0.03713700000000003
-0.32763,0.0,0.163761,0.28278,0.275,0,-0.03370200000000001
-0.329691,0.0,0.158837,0.254274,0.283333,1,-0.028505999999999976
-0.33175,0.0,0.162363,0.238776,0.291667,1,-0.015498000000000012
-0.333807,0.0,0.165342,0.233416,0.3,1,-0.005359999999999976
-0.335863,0.0,0.164495,0.216629,0.308333,1,-0.016787000000000024
-0.337917,0.0,0.158914,0.189862,0.316667,2,-0.026766999999999985
-0.339969,0.0,0.145891,0.165301,0.325,2,-0.024561
-0.34202,0.0,0.128294,0.145801,0.333333,2,-0.019500000000000017
-0.344069,0.0,0.105786,0.128003,0.341667,2,-0.01779799999999998
-0.346117,0.0,0.088337,0.113658,0.35,2,-0.01434500000000001
